Scenario,Move,FarLot,FarLoss,HarvestNet,Reserve,Coverage,Deficit,RecoveryPL,ReserveCatchUpRatio,Law1,Law2,LotStep,CostMultiplier
37,100,1,100.0,96.2,86.58,86.58,13.42,-17.0,2.34,PASS,PASS,0.001,1
37,200,1,200.0,356.2,320.58,320.58,-120.58,143.0,2.34,PASS,PASS,0.001,1
37,500,1,500.0,1136.2,1022.58,1022.58,-522.58,623.0,2.34,PASS,PASS,0.001,1
38,10,2,20.0,0,0.0,0.0,20.0,-401.0,2.34,PASS,PASS,0.01,1
38,20,2,40.0,0,0.0,0.0,40.0,-369.0,2.34,PASS,PASS,0.01,1
38,50,2,100.0,0,0.0,0.0,100.0,-273.0,2.34,PASS,PASS,0.01,1
38,100,2,200.0,119.4,107.46,107.46,92.54,-113.0,2.34,PASS,PASS,0.01,1
38,200,2,400.0,639.4,575.46,575.46,-175.46,207.0,2.34,PASS,PASS,0.01,1
38,500,2,1000.0,2199.4,1979.46,1979.46,-979.46,1167.0,2.34,PASS,PASS,0.01,1
39,10,5,50.0,0,0.0,0.0,50.0,-1201.0,2.34,PASS,PASS,0.1,1
39,20,5,100.0,0,0.0,0.0,100.0,-1121.0,2.34,PASS,PASS,0.1,1
39,50,5,250.0,0,0.0,0.0,250.0,-881.0,2.34,PASS,PASS,0.1,1
39,100,5,500.0,115.0,103.5,103.5,396.5,-481.0,2.34,PASS,PASS,0.1,1
39,200,5,1000.0,1415.0,1273.5,1273.5,-273.5,319.0,2.34,PASS,PASS,0.1,1
39,500,5,2500.0,5315.0,4783.5,4783.5,-2283.5,2719.0,2.34,PASS,PASS,0.1,1
40,10,10,100.0,0,0.0,0.0,100.0,-2801.0,2.34,PASS,PASS,0.001,1
40,20,10,200.0,0,0.0,0.0,200.0,-2641.0,2.34,PASS,PASS,0.001,1
40,50,10,500.0,0,0.0,0.0,500.0,-2161.0,2.34,PASS,PASS,0.001,1
40,100,10,1000.0,0,0.0,0.0,1000.0,-1361.0,2.34,PASS,PASS,0.001,1
40,200,10,2000.0,2461.0,2214.9,2214.9,-214.9,239.0,2.34,PASS,PASS,0.001,1
40,500,10,5000.0,10261.0,9234.9,9234.9,-4234.9,5039.0,2.34,PASS,PASS,0.001,1
41,10,0.01,0.1,0,0.0,0.0,0.1,-3.96,1.8,PASS,PASS,0.01,1
41,20,0.01,0.2,0,0.0,0.0,0.2,-3.86,1.8,PASS,PASS,0.01,1
41,50,0.01,0.5,0,0.0,0.0,0.5,-3.56,1.8,PASS,PASS,0.01,1
41,100,0.01,1.0,0,0.0,0.0,1.0,-3.06,1.8,PASS,PASS,0.01,1
41,200,0.01,2.0,0,0.0,0.0,2.0,-2.06,1.8,PASS,PASS,0.01,1
41,500,0.01,5.0,5.94,5.346,5.346,-0.346,0.94,1.8,PASS,PASS,0.01,1
42,10,0.05,0.5,0,0.0,0.0,0.5,-17.3,1.8,PASS,PASS,0.1,1
42,20,0.05,1.0,0,0.0,0.0,1.0,-16.8,1.8,PASS,PASS,0.1,1
42,50,0.05,2.5,0,0.0,0.0,2.5,-15.3,1.8,PASS,PASS,0.1,1
42,100,0.05,5.0,0,0.0,0.0,5.0,-12.8,1.8,PASS,PASS,0.1,1
42,200,0.05,10.0,2.2,1.98,1.98,8.02,-7.8,1.8,PASS,PASS,0.1,1
42,500,0.05,25.0,32.2,28.98,28.98,-3.98,7.2,1.8,PASS,PASS,0.1,1
43,10,0.1,1.0,0,0.0,0.0,1.0,-24.2,2.34,PASS,PASS,0.001,1
43,20,0.1,2.0,0,0.0,0.0,2.0,-22.6,2.34,PASS,PASS,0.001,1
43,50,0.1,5.0,0,0.0,0.0,5.0,-17.8,2.34,PASS,PASS,0.001,1
43,100,0.1,10.0,2.06,1.854,1.854,8.146,-9.8,2.34,PASS,PASS,0.001,1
43,200,0.1,20.0,28.06,25.254,25.254,-5.254,6.2,2.34,PASS,PASS,0.001,1
43,500,0.1,50.0,106.06,95.454,95.454,-45.454,54.2,2.34,PASS,PASS,0.001,1
44,10,0.5,5.0,0,0.0,0.0,5.0,-137.0,2.34,PASS,PASS,0.01,1
44,20,0.5,10.0,0,0.0,0.0,10.0,-129.0,2.34,PASS,PASS,0.01,1
44,50,0.5,25.0,0,0.0,0.0,25.0,-105.0,2.34,PASS,PASS,0.01,1
44,100,0.5,50.0,0,0.0,0.0,50.0,-65.0,2.34,PASS,PASS,0.01,1
44,200,0.5,100.0,125.8,113.22,113.22,-13.22,15.0,2.34,PASS,PASS,0.01,1
44,500,0.5,250.0,515.8,464.22,464.22,-214.22,255.0,2.34,PASS,PASS,0.01,1
45,10,1,10.0,0,0.0,0.0,10.0,-313.0,2.34,PASS,PASS,0.1,1
45,20,1,20.0,0,0.0,0.0,20.0,-297.0,2.34,PASS,PASS,0.1,1
45,50,1,50.0,0,0.0,0.0,50.0,-249.0,2.34,PASS,PASS,0.1,1
45,100,1,100.0,0,0.0,0.0,100.0,-169.0,2.34,PASS,PASS,0.1,1
45,200,1,200.0,215.6,194.04,194.04,5.96,-9.0,2.34,PASS,PASS,0.1,1
45,500,1,500.0,995.6,896.04,896.04,-396.04,471.0,2.34,PASS,PASS,0.1,1
46,10,2,20.0,0,0.0,0.0,20.0,-705.0,2.34,PASS,PASS,0.001,1
46,20,2,40.0,0,0.0,0.0,40.0,-673.0,2.34,PASS,PASS,0.001,1
46,50,2,100.0,0,0.0,0.0,100.0,-577.0,2.34,PASS,PASS,0.001,1
46,100,2,200.0,0,0.0,0.0,200.0,-417.0,2.34,PASS,PASS,0.001,1
46,200,2,400.0,358.2,322.38,322.38,77.62,-97.0,2.34,PASS,PASS,0.001,1
