RunID,Category,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,MaxHarvestLevels,MaxReverseCycles,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,RecoveryPL_Mean,RecoveryPL_Min,RecoveryPL_Max,MaxDD_Mean,MaxDD_Max,MaxMarginUsed,StopMaxLevelsCount,ClosedProfitCount,ClosedRecoveryLossCount,CompressionRatio,NewBigToOldFarRatio,Score,Verdict
13751,CANDIDATE,0.05,1.15,0.3,0.45,0.55,0.3,0.7,0.1,200,200,25,250,10,3,80,50,15,-11.57,-15.92,3.59,13.09,16.47,130.0,0,1,6,1.0,1.0,-3140.4,REJECTED_RECOVERY_LOSS
1272,CANDIDATE,0.1,1.1,0.25,0.4,0.6,0.1,0.9,0.07,100,100,100,100,10,10,30,60,20,-2.91,-17.28,3.14,9.04,16.78,240.0,3,4,3,1.0,1.0,-3140.585,REJECTED_STOP_MAX_LEVELS
11965,CANDIDATE,0.05,1.05,0.15,0.5,0.5,0.2,0.8,0.07,70,100,25,150,9,3,80,70,30,-13.71,-18.49,2.14,14.26,18.49,110.0,0,1,6,1.0,1.0,-3140.585,REJECTED_RECOVERY_LOSS
21792,CANDIDATE,0.05,1.2,0.2,0.4,0.6,0.2,0.8,0.05,200,200,50,100,10,3,80,50,25,-11.95,-21.59,6.4,13.17,21.59,130.0,0,1,6,1.0,1.0,-3140.715,REJECTED_RECOVERY_LOSS
13495,CANDIDATE,0.05,1.15,0.2,0.45,0.55,0.15,0.85,0.0,100,100,75,300,9,3,80,50,25,-12.05,-16.09,5.14,14.04,17.04,130.0,0,1,6,1.0,1.0,-3140.75,REJECTED_RECOVERY_LOSS
4874,CANDIDATE,0.05,1.15,0.15,0.35,0.65,0.4,0.6,0.07,150,70,75,300,10,3,60,50,20,-12.2,-18.18,1.03,13.18,18.18,120.0,0,1,6,1.0,1.0,-3140.93,REJECTED_RECOVERY_LOSS
18970,CANDIDATE,0.05,1.1,0.2,0.45,0.55,0.25,0.75,0.1,150,100,50,100,9,3,60,70,15,-10.45,-13.06,0.29,10.68,13.06,130.0,0,1,6,1.0,1.0,-3141.175,REJECTED_RECOVERY_LOSS
23316,CANDIDATE,0.05,1.15,0.25,0.4,0.6,0.2,0.8,0.07,70,150,50,250,8,3,80,70,20,-12.05,-18.57,4.69,12.94,18.57,130.0,0,1,6,0.8,1.0,-3141.37,REJECTED_RECOVERY_LOSS
986,CANDIDATE,0.05,1.15,0.2,0.45,0.55,0.15,0.85,0.03,150,200,25,200,9,3,80,60,20,-11.97,-16.46,4.24,13.24,16.62,130.0,0,1,6,1.0,1.0,-3141.39,REJECTED_RECOVERY_LOSS
7158,CANDIDATE,0.05,1.12,0.3,0.4,0.6,0.15,0.85,0.03,200,150,50,200,8,3,80,50,25,-12.59,-16.48,6.94,13.87,16.48,130.0,0,1,6,1.0,1.0,-3141.44,REJECTED_RECOVERY_LOSS
7410,CANDIDATE,0.05,1.25,0.3,0.45,0.55,0.15,0.85,0.05,200,150,50,200,8,3,80,60,25,-12.59,-16.48,6.94,13.87,16.48,130.0,0,1,6,1.0,1.0,-3141.44,REJECTED_RECOVERY_LOSS
18808,CANDIDATE,0.05,1.1,0.3,0.45,0.55,0.2,0.8,0.1,200,150,100,250,9,3,80,60,30,-11.29,-15.86,1.61,12.16,16.47,130.0,0,1,6,1.0,1.0,-3141.51,REJECTED_RECOVERY_LOSS
